id,term,name
,229,"[[b;#fff;]/bok´sn/]"
,229,[[b;#fff;]pl.n.]
,230,"[[b;#fff;]/bok·sol'@·jee/]"
,230,[[b;#fff;]n.]
,231,"[[b;#fff;]/boh·zoh´tik/]"
,231,"[[b;#fff;]/boh·zo´tik/]"
,231,[[b;#fff;]adj.]
,232,[[b;#fff;]n.]
,233,[[b;#fff;]n.]
,234,[[b;#fff;]adj.]
,235,[[b;#fff;]adj.]
,236,"[[b;#fff;]/bray´no/]"
,236,[[b;#fff;]n.]
,237,[[b;#fff;]n.]
,238,[[b;#fff;]n.]
,240,[[b;#fff;]n.]
,241,[[b;#fff;]n.]
,242,[[b;#fff;]n.]
,243,"[[b;#fff;]/bri:d´bart ind@ks/]"
,244,[[b;#fff;]n.]
,246,[[b;#fff;]v.]
,247,[[b;#fff;]adj.]
,248,[[b;#fff;]n.]
,249,[[b;#fff;]adj.]
,250,[[b;#fff;]n.]
,252,[[b;#fff;]n.]
,253,"[[b;#fff;]/broh´k@t/]"
,253,"[[b;#fff;]/broh´ket`/]"
,253,[[b;#fff;]n.]
,254,[[b;#fff;]prov.]
,255,[[b;#fff;]n.]
,256,[[b;#fff;]n.]
,257,"[[b;#fff;]/B·R·S/]"
,257,[[b;#fff;]n.]
,258,[[b;#fff;]adj.]
,259,[[b;#fff;]n.]
,260,"[[b;#fff;]/B·S·D/]"
,260,[[b;#fff;]n.]
,261,"[[b;#fff;]/B·S·O·D/]"
,262,[[b;#fff;]//]
,262,[[b;#fff;]n.]
,263,[[b;#fff;]//]
,263,[[b;#fff;]n.]
,264,[[b;#fff;]n.]
,265,"[[b;#fff;]/buh´kee bits/]"
,265,[[b;#fff;]n.]
,266,[[b;#fff;]n.]
,267,[[b;#fff;]n.]
,268,[[b;#fff;]n.]
,269,[[b;#fff;]adj.]
,270,[[b;#fff;]n.]
,271,[[b;#fff;]n.]
,272,[[b;#fff;]adj.]
,273,"[[b;#fff;]/bul´shilt/]"
,273,[[b;#fff;]n.]
,274,[[b;#fff;]vt.]
,275,[[b;#fff;]v.]
,276,[[b;#fff;]n.]
,277,[[b;#fff;]v.]
,278,[[b;#fff;]n.]
,279,[[b;#fff;]n.]
,280,[[b;#fff;]vi.]
,281,[[b;#fff;]vi.]
,283,"[[b;#fff;]/B·W·Q/]"
,283,[[b;#fff;]n.]
,284,[[b;#fff;]adv.]
,285,[[b;#fff;]/bi:t/]
,285,[[b;#fff;]n.]
,286,[[b;#fff;]n.]
,287,"[[b;#fff;]/bi:t`sek´shu·@l/]"
,287,[[b;#fff;]adj.]
,288,"[[b;#fff;]/bzt rong/]"
,288,[[b;#fff;]excl.]
,289,[[b;#fff;]n.]
,290,[[b;#fff;]n.]
,291,[[b;#fff;]//]
,292,"[[b;#fff;]/C'·pluhs·pluhs/]"
,292,[[b;#fff;]n.]
,293,[[b;#fff;]n.]
,294,[[b;#fff;]n.]
,298,"[[b;#fff;]/kan´sel·bot/]"
,299,"[[b;#fff;]/kan´sel·moos/]"
,300,[[b;#fff;]n.]
,301,[[b;#fff;]adj.]
,302,"[[b;#fff;]/keir´weir/]"
,302,[[b;#fff;]n.]
,303,[[b;#fff;]n.]
,304,[[b;#fff;]n.]
,305,[[b;#fff;]n.]
,307,[[b;#fff;]n.]
,308,[[b;#fff;]n.]
,309,[[b;#fff;]vt.]
,310,[[b;#fff;]adj.]
,311,"[[b;#fff;]n.,adj.]"
,312,"[[b;#fff;]/C·D til·d@/]"
,312,[[b;#fff;]vi.]
,313,"[[b;#fff;]/C·D·A/]"
,314,"[[b;#fff;]/ku´dr/]"
,314,"[[b;#fff;]/kuh´dr/]"
,314,[[b;#fff;]vt.]
,315,[[b;#fff;]/chad/]
,315,[[b;#fff;]n.]
,316,[[b;#fff;]n.]
,318,"[[b;#fff;]/chi:´nik/]"
,319,[[b;#fff;]n.]
,320,[[b;#fff;]n.]
,321,"[[b;#fff;]/chan´l op/]"
,321,[[b;#fff;]n.]
,322,"[[b;#fff;]/chan'·op/]"
,322,[[b;#fff;]n.]
,323,[[b;#fff;]/keir/]
,323,[[b;#fff;]/char/]
,323,[[b;#fff;]/kar/]
,323,[[b;#fff;]n.]
,324,"[[b;#fff;]/cha´rit·ee·weir`/]"
,324,[[b;#fff;]n.]
,326,[[b;#fff;]n.]
,327,[[b;#fff;]n.]
,328,[[b;#fff;]adv.]
,329,[[b;#fff;]n.]
,330,[[b;#fff;]n.]
,331,"[[b;#fff;]/cher·noh´b@l pak'@t/]"
,331,[[b;#fff;]n.]
,332,[[b;#fff;]n.]
,333,[[b;#fff;]n.]
,334,[[b;#fff;]n.]
,335,[[b;#fff;]n.]
,336,[[b;#fff;]/chohd/]
,336,[[b;#fff;]n.]
,337,[[b;#fff;]v.]
,338,[[b;#fff;]vi.]
,339,[[b;#fff;]n.]
,340,[[b;#fff;]/chop/]
,340,[[b;#fff;]n.]
,341,[[b;#fff;]n.]
,342,[[b;#fff;]n.]
,343,[[b;#fff;]n.]
,344,[[b;#fff;]vi.]
,345,[[b;#fff;]n.]
,346,[[b;#fff;]//]
,346,[[b;#fff;]n.]
,347,[[b;#fff;]n.]
,348,"[[b;#fff;]/klas´ik C/]"
,348,[[b;#fff;]n.]
,350,[[b;#fff;]n.]
,351,"[[b;#fff;]/C·L·M/]"
,352,[[b;#fff;]vt.]
,354,[[b;#fff;]n.]
,355,[[b;#fff;]n.]
,356,[[b;#fff;]n.]
,357,[[b;#fff;]n.]
,359,"[[b;#fff;]/kluh´st@r·gee`king/]"
,359,[[b;#fff;]n.]
,360,"[[b;#fff;]/koh´loh`/]"
,360,[[b;#fff;]n.]
,361,[[b;#fff;]n.]
,363,"[[b;#fff;]/koh´bol/]"
,363,[[b;#fff;]n.]
,364,"[[b;#fff;]/koh´bol fing´grz/]"
,364,[[b;#fff;]n.]
,365,[[b;#fff;]n.]
,367,[[b;#fff;]n.]
,368,[[b;#fff;]n]
,369,[[b;#fff;]n.]
,370,[[b;#fff;]n.]
,371,[[b;#fff;]n.]
,372,[[b;#fff;]n.]
,373,[[b;#fff;]n.]
,374,"[[b;#fff;]/kohk´bot·l/]"
,374,[[b;#fff;]n.]
,375,[[b;#fff;]n.]
,376,[[b;#fff;]n.]
,377,"[[b;#fff;]/kom mohd/]"
,377,[[b;#fff;]n.]
,378,[[b;#fff;]n.]
,379,[[b;#fff;]vt.]
,380,[[b;#fff;]n.]
,381,[[b;#fff;]adj.]
,382,[[b;#fff;]n.]
,383,[[b;#fff;]n.]
,384,[[b;#fff;]vt.]
,385,[[b;#fff;]n.]
,386,[[b;#fff;]n.]
,387,"[[b;#fff;]/kom´pyoo·tron`/]"
